order_id,customer_id,product_id,order_date,quantity
1,447,325,2024-06-21,5
2,396,132,2024-06-17,2
3,134,116,2024-07-27,1
4,860,779,2024-07-23,3
5,701,469,2024-05-22,2
6,845,347,2024-06-16,4
7,576,405,2024-05-05,2
8,452,860,2024-08-08,3
9,244,559,2024-07-28,4
10,694,854,2024-06-27,1
11,883,7,2024-07-26,4
12,789,538,2024-05-04,1
13,624,969,2024-07-17,1
14,970,295,2024-05-01,2
15,666,666,2024-08-12,2
16,827,520,2024-07-22,3
17,826,497,2024-06-20,3
18,560,621,2024-08-26,2
19,609,730,2024-08-18,2
20,563,701,2024-06-27,1
21,845,181,2024-08-04,1
22,976,826,2024-07-16,1
23,222,491,2024-08-29,2
24,944,366,2024-05-07,1
25,726,505,2024-08-23,3
26,313,370,2024-05-30,4
27,574,593,2024-05-06,4
28,521,662,2024-06-16,1
29,872,520,2024-07-25,2
30,660,87,2024-06-08,3
31,691,161,2024-08-21,4
32,337,334,2024-08-29,5
33,496,75,2024-07-08,5
34,135,481,2024-08-10,4
35,639,253,2024-07-11,4
36,446,917,2024-06-04,1
37,917,197,2024-05-19,1
38,887,56,2024-05-11,5
39,985,111,2024-08-14,4
40,471,256,2024-08-14,1
41,268,20,2024-08-05,4
42,131,423,2024-05-22,1
43,848,380,2024-07-26,1
44,109,738,2024-05-24,1
45,741,807,2024-07-04,5
46,88,452,2024-06-30,4
47,663,701,2024-05-19,3
48,788,833,2024-07-23,3
49,744,350,2024-05-19,1
50,434,304,2024-05-13,3
51,373,527,2024-07-20,4
52,790,221,2024-08-23,5
53,823,832,2024-06-09,1
54,154,774,2024-08-15,5
55,111,323,2024-06-25,3
56,758,513,2024-07-27,1
57,109,805,2024-06-20,3
58,56,510,2024-08-18,2
59,335,267,2024-05-11,5
60,851,388,2024-05-11,3
61,456,20,2024-06-15,2
62,883,563,2024-07-20,3
63,459,400,2024-08-15,2
64,29,871,2024-05-14,2
65,202,557,2024-05-25,5
66,426,127,2024-06-28,2
67,406,785,2024-05-31,1
68,671,454,2024-06-23,2
69,16,816,2024-05-11,3
70,255,351,2024-08-05,1
71,403,685,2024-05-15,2
72,963,741,2024-07-31,4
73,311,846,2024-06-01,5
74,699,774,2024-07-17,5
75,249,781,2024-08-14,2
76,892,811,2024-07-20,2
77,325,162,2024-06-22,1
78,512,134,2024-06-21,4
79,691,634,2024-06-18,4
80,807,336,2024-07-23,4
81,283,348,2024-08-15,2
82,228,641,2024-07-28,1
83,650,595,2024-08-21,3
84,727,158,2024-08-05,1
85,214,41,2024-07-27,5
86,204,295,2024-05-25,3
87,783,851,2024-07-22,4
88,374,195,2024-06-19,3
89,376,723,2024-05-06,2
90,578,728,2024-08-24,3
91,167,905,2024-06-16,5
92,134,166,2024-06-18,3
93,13,797,2024-06-08,3
94,452,388,2024-08-05,2
95,95,744,2024-07-09,3
96,42,106,2024-05-31,2
97,966,219,2024-05-14,5
98,830,393,2024-06-05,1
99,747,787,2024-06-01,2
100,689,220,2024-05-04,1
101,317,515,2024-05-13,1
102,358,414,2024-06-02,5
103,742,56,2024-07-17,3
104,550,487,2024-07-08,5
105,668,770,2024-06-26,1
106,1000,704,2024-07-10,4
107,14,272,2024-08-28,1
108,470,260,2024-08-02,1
109,741,164,2024-05-11,4
110,213,817,2024-07-04,2
111,240,452,2024-06-27,1
112,738,131,2024-07-01,3
113,717,519,2024-08-20,2
114,924,119,2024-06-20,2
115,758,227,2024-08-07,2
116,725,643,2024-05-04,3
117,925,400,2024-05-06,2
118,771,719,2024-06-10,1
119,235,791,2024-05-28,3
120,640,583,2024-06-30,1
121,479,61,2024-07-29,3
122,336,671,2024-06-28,4
123,312,783,2024-05-10,3
124,532,507,2024-07-16,2
125,589,28,2024-08-02,5
126,997,659,2024-08-09,5
127,291,370,2024-06-19,4
128,766,776,2024-07-10,2
129,281,585,2024-07-06,5
130,829,621,2024-08-04,1
131,63,104,2024-08-25,4
132,276,326,2024-05-17,4
133,266,479,2024-07-29,1
134,433,588,2024-06-23,2
135,234,659,2024-07-09,5
136,497,891,2024-07-24,3
137,497,381,2024-05-22,1
138,681,845,2024-06-25,4
139,159,850,2024-08-01,2
140,769,25,2024-06-05,3
141,682,425,2024-08-18,3
142,42,514,2024-06-19,3
143,165,570,2024-05-21,2
144,306,662,2024-08-25,2
145,17,776,2024-05-23,1
146,589,685,2024-06-01,4
147,952,710,2024-06-29,3
148,736,540,2024-06-17,4
149,726,895,2024-08-02,1
150,25,389,2024-07-01,4
151,637,167,2024-07-07,5
152,476,440,2024-08-21,2
153,262,405,2024-07-31,2
154,927,328,2024-05-29,5
155,581,860,2024-08-06,4
156,465,49,2024-05-11,4
157,505,884,2024-06-22,3
158,193,264,2024-07-17,4
159,989,996,2024-08-17,1
160,417,804,2024-08-28,2
161,477,943,2024-06-26,1
162,579,997,2024-08-04,3
163,729,908,2024-08-22,3
164,188,564,2024-05-11,3
165,142,929,2024-06-29,3
166,13,263,2024-05-15,3
167,196,853,2024-08-28,5
168,109,925,2024-06-05,4
169,365,976,2024-06-04,2
170,179,714,2024-07-13,3
171,323,194,2024-05-01,2
172,645,653,2024-08-22,5
173,241,34,2024-07-18,1
174,898,203,2024-08-28,5
175,210,835,2024-07-21,4
176,815,564,2024-06-09,1
177,176,861,2024-08-20,1
178,736,505,2024-06-04,5
179,384,324,2024-08-20,4
180,72,254,2024-06-05,1
181,215,776,2024-05-22,3
182,474,595,2024-05-19,3
183,426,595,2024-05-13,1
184,396,74,2024-05-14,1
185,653,627,2024-05-28,5
186,659,575,2024-06-26,3
187,921,785,2024-08-15,1
188,472,122,2024-08-27,3
189,95,799,2024-07-19,1
190,234,320,2024-05-17,3
191,413,604,2024-06-02,2
192,166,968,2024-06-25,2
193,715,720,2024-08-11,2
194,267,240,2024-05-09,2
195,648,263,2024-05-09,3
196,926,850,2024-07-17,2
197,73,385,2024-06-14,5
198,484,49,2024-06-27,5
199,323,302,2024-08-20,5
200,163,621,2024-08-13,3
201,901,49,2024-05-16,1
202,254,365,2024-05-23,1
203,796,482,2024-08-10,1
204,514,29,2024-05-21,2
205,894,776,2024-05-17,3
206,725,178,2024-05-30,1
207,715,885,2024-08-10,5
208,386,602,2024-06-21,1
209,550,814,2024-06-25,4
210,658,95,2024-06-01,1
211,851,345,2024-06-03,5
212,591,679,2024-07-31,4
213,903,276,2024-08-13,4
214,3,600,2024-05-29,5
215,525,995,2024-05-24,3
216,222,60,2024-08-02,4
217,164,545,2024-06-16,2
218,824,727,2024-08-06,5
219,67,511,2024-08-21,1
220,789,621,2024-07-05,3
221,40,959,2024-07-03,1
222,870,85,2024-07-19,5
223,231,99,2024-06-24,3
224,770,86,2024-07-24,1
225,428,408,2024-06-05,5
226,344,358,2024-06-20,3
227,259,644,2024-07-23,3
228,366,546,2024-08-29,1
229,364,827,2024-08-21,2
230,269,388,2024-06-16,2
231,208,29,2024-05-19,1
232,184,81,2024-06-23,3
233,804,699,2024-05-28,1
234,591,705,2024-06-06,1
235,390,373,2024-06-29,3
236,471,505,2024-05-17,5
237,604,969,2024-07-30,2
238,392,794,2024-05-15,2
239,177,969,2024-06-15,4
240,713,909,2024-07-29,3
241,157,890,2024-05-25,1
242,898,984,2024-07-23,2
243,800,373,2024-07-01,4
244,865,904,2024-06-10,1
245,157,493,2024-06-22,5
246,470,730,2024-05-13,2
247,771,741,2024-07-25,1
248,770,903,2024-05-17,3
249,304,99,2024-06-01,5
250,87,514,2024-05-13,2
251,55,266,2024-05-31,2
252,928,647,2024-06-15,3
253,814,41,2024-07-26,1
254,434,71,2024-07-15,1
255,646,321,2024-05-01,1
256,668,488,2024-05-06,2
257,359,566,2024-08-20,5
258,446,461,2024-05-23,2
259,561,796,2024-08-24,5
260,441,107,2024-07-11,5
261,732,718,2024-05-26,4
262,793,103,2024-07-11,1
263,656,373,2024-07-22,4
264,673,993,2024-06-27,2
265,1000,653,2024-06-29,3
266,813,265,2024-06-29,3
267,270,252,2024-06-27,3
268,631,353,2024-06-26,1
269,920,117,2024-06-15,3
270,434,42,2024-06-01,2
271,622,413,2024-08-04,3
272,461,845,2024-07-15,5
273,170,995,2024-06-16,5
274,509,601,2024-07-15,2
275,845,563,2024-07-15,5
276,489,981,2024-08-12,3
277,188,949,2024-08-24,3
278,972,55,2024-05-08,5
279,500,206,2024-07-09,4
280,737,561,2024-07-03,5
281,820,732,2024-08-05,4
282,183,264,2024-05-09,3
283,266,620,2024-05-24,2
284,25,539,2024-07-10,3
285,477,746,2024-07-20,5
286,426,205,2024-08-10,2
287,818,648,2024-05-21,2
288,353,69,2024-08-03,5
289,141,539,2024-07-31,5
290,659,150,2024-05-13,4
291,76,135,2024-05-09,4
292,693,603,2024-08-09,3
293,96,49,2024-05-05,1
294,249,166,2024-07-13,5
295,697,164,2024-05-29,4
296,336,829,2024-05-11,1
297,637,866,2024-05-22,1
298,876,866,2024-08-19,3
299,315,152,2024-08-29,5
300,487,591,2024-08-06,4
301,837,510,2024-07-23,3
302,581,900,2024-08-11,3
303,832,298,2024-08-03,2
304,379,682,2024-07-30,4
305,300,889,2024-05-19,5
306,444,317,2024-08-28,1
307,232,260,2024-07-24,2
308,917,263,2024-06-15,1
309,383,744,2024-07-06,2
310,125,351,2024-06-10,5
311,376,449,2024-06-11,3
312,708,849,2024-08-01,1
313,279,723,2024-08-01,4
314,528,868,2024-08-16,3
315,692,637,2024-08-19,5
316,206,768,2024-08-13,1
317,371,274,2024-08-27,4
318,746,717,2024-05-26,1
319,187,986,2024-07-24,1
320,234,640,2024-05-12,4
321,40,878,2024-05-13,5
322,572,551,2024-06-05,2
323,733,412,2024-08-26,2
324,521,187,2024-07-01,3
325,365,32,2024-07-12,1
326,671,858,2024-05-02,2
327,764,807,2024-07-19,1
328,664,509,2024-05-04,3
329,687,171,2024-07-27,3
330,936,634,2024-08-26,2
331,286,515,2024-06-28,2
332,649,596,2024-07-16,3
333,187,792,2024-05-07,1
334,218,901,2024-06-30,5
335,235,934,2024-07-23,3
336,798,832,2024-08-18,1
337,962,322,2024-06-25,4
338,876,485,2024-07-25,3
339,435,733,2024-05-24,5
340,155,343,2024-06-28,1
341,593,544,2024-06-06,1
342,191,522,2024-08-28,3
343,900,475,2024-07-28,2
344,521,72,2024-07-24,2
345,69,413,2024-08-19,1
346,741,399,2024-08-04,5
347,834,854,2024-08-02,1
348,710,506,2024-05-14,2
349,369,612,2024-05-22,2
350,817,350,2024-08-24,1
351,445,375,2024-05-21,1
352,345,593,2024-06-28,1
353,13,444,2024-06-29,3
354,921,326,2024-07-20,3
355,748,40,2024-06-13,5
356,346,156,2024-05-25,1
357,423,693,2024-08-08,1
358,326,204,2024-06-18,1
359,112,183,2024-05-22,5
360,163,369,2024-07-20,1
361,482,380,2024-08-01,3
362,755,788,2024-06-28,1
363,496,329,2024-05-18,5
364,286,302,2024-07-04,1
365,999,395,2024-08-29,3
366,460,397,2024-06-05,5
367,177,649,2024-06-27,5
368,298,211,2024-05-11,3
369,171,49,2024-07-10,2
370,948,848,2024-05-11,2
371,531,615,2024-06-24,4
372,309,288,2024-07-30,3
373,77,826,2024-08-22,2
374,468,321,2024-07-20,2
375,962,515,2024-08-25,3
376,433,728,2024-07-11,4
377,36,110,2024-07-16,1
378,830,464,2024-08-22,3
379,301,377,2024-05-02,4
380,178,106,2024-05-07,5
381,247,245,2024-06-28,3
382,934,602,2024-07-25,4
383,567,174,2024-05-22,1
